,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
1680,f-9q9-scmtdcom_1698,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,04,04,Harvey West / Emeline,040003,,,60.0,,0.5,,0.12,,2.0,,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1681,f-9q9-scmtdcom_1699,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,10,10,UCSC Via High,100007,,60.0,60.09,60.14,0.5,1.0,0.75,0.5,12.0,8.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1682,f-9q9-scmtdcom_1700,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,16,16,UCSC via Laurel East,160018,60.0,60.0,60.0,46.0,1.0,1.0,0.94,1.12,16.0,20.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1683,f-9q9-scmtdcom_1701,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,19,19,UCSC via Lower Bay,190013,60.0,60.0,60.0,59.0,1.0,1.0,0.88,0.62,14.0,10.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1684,f-9q9-scmtdcom_1702,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,,60.0,60.0,60.0,0.5,1.0,0.69,0.38,11.0,6.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1685,f-9q9-scmtdcom_1703,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200024,,,60.0,60.0,,,0.19,0.25,3.0,4.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1686,f-9q9-scmtdcom_1704,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,35,35,San Lorenzo Valley (SLV),350076,,60.0,59.85,119.67,0.5,1.0,0.88,0.44,15.0,7.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1687,f-9q9-scmtdcom_1705,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,35,35,San Lorenzo Valley (SLV),350077,63.0,55.0,59.79,119.0,1.0,1.0,0.94,0.38,15.0,7.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1688,f-9q9-scmtdcom_1706,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,35,35,San Lorenzo Valley (SLV),350070,,,,,0.5,,0.06,,1.0,,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1689,f-9q9-scmtdcom_1707,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,42,42,Davenport / Bonny Doon,420013,,,,480.0,,,0.06,0.12,1.0,2.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
